組込みシステムの用途として，適切でないものはどれか。,4,FA機器又は医療機器を制御するシステム,音響，映像機器を制御するシステム,銀行のATM端末システム,列車の座席予約を管理するホストシステム,過去2回出題
ある製品の設定価格と需要の関係が1次式で表せるとき，aに入れる適切な数値はどれか。     (1):設定価格を3000円にすると，需要は0個になる。     (2):設定価格を1000円にすると，需要は60000個になる。     (3):設定価格を1500円にすると，需要は"a"個になる。,4,30000,35000,40000,45000,過去5回出題
プロダクトライフサイクルにおける成長期の特徴はどれか。,1,市場が製品の価値を理解し始める。製品ラインもチャネルも拡大しなければならない。この時期は売上も伸びるが，投資も必要である。,需要が大きくなり，製品の差別化や市場の細分化が明確になってくる。競争者間の競争も激化し，新品種の追加やコストダウンが重要となる。,需要が減ってきて，撤退する企業も出てくる。この時期の強者になれるかどうかを判断し，代替市場への進出なども考える。,需要は部分的で，新規需要開拓が勝負である。特定ターゲットに対する信念に満ちた説得が必要である。,過去5回出題
企画，要件定義，システム開発，ソフトウェア実装，ハードウェア実装，保守から成る一連のプロセスにおいて，要件定義プロセスで実施すべきものはどれか。,1,システムに関わり合いをもつ利害関係者の種類を識別し，利害関係者のニーズ，要望及び課せられる制約条件を識別する。,事業の目的，目標を達成するために必要なシステム化の方針，及びシステムを実現するための実施計画を立案する。,目的とするシステムを得るために，システムの機能及び能力を定義し，システム方式設計によってハードウェア，ソフトウェアなどによる実現方式を確立する。,利害関係者の要件を満足するソフトウェア製品又はソフトウェアサービスを得るための，方式設計と適格性の確認を実施する。,過去2回出題
SOAを説明したものはどれか。,2,業務体系，データ体系，適用処理体系，技術体系の四つの主要概念から構成され，業務とシステムの最適化を図る。,サービスというコンポーネントからソフトウェアを構築することによって，ビジネス変化に対応しやすくする。,データフローダイアグラムを用い，情報に関するモデルと機能に関するモデルを同時に作成する。,連接，選択，反復の三つの論理構造の組合せで，コンポーネントレベルの設計を行う。,過去2回出題
BPOを説明したものはどれか。,3,自社ではサーバを所有せずに，通信事業者などが保有するサーバの処理能力や記憶容量の一部を借りてシステムを運用することである。,自社ではソフトウェアを所有せずに，外部の専門業者が提供するソフトウェアの機能をネットワーク経由で活用することである。,自社の管理部門やコールセンタなど特定部門の業務プロセス全般を，業務システムの運用などと一体として外部の専門業者に委託することである。,自社よりも人件費の安い派遣会社の社員を活用することによって，ソフトウェア開発の費用を低減させることである。,過去3回出題
IT投資評価を，個別プロジェクトの計画，実施，完了に応じて，事前評価，中間評価，事後評価を行う。事前評価について説明したものはどれか。,4,計画と実績との差異及び原因を詳細に分析し，投資額や効果目標の変更が必要かどうかを判断する。,事前に設定した効果目標の達成状況を評価し，必要に応じて目標を達成するための改善策を検討する。,投資効果の実現時期と評価に必要なデータ収集方法を事前に計画し，その時期に合わせて評価を行う。,投資目的に基づいた効果目標を設定し，実施可否判断に必要な情報を上位マネジメントに提供する。,過去3回出題
次の条件でITサービスを提供している。SLAを満たすことのできる，1か月のサービス時間帯中の停止時間は最大何時間か。ここで，1か月の営業日数は30日とし、サービス時間帯中は，保守などのサービス計画停止は行わないものとする。     〔SLAの条件〕     ・サービス時間帯は，営業日の午前8時から午後10時までとする。     ・可用性を99.5%以上とする。,2,0.3,2.1,3.0,3.6,過去4回出題
ある新規システムの機能規模を見積もったところ，500FP(ファンクションポイント)であった。このシステムを構築するプロジェクトには，開発工数のほかに，システム導入と開発者教育の工数が，合計で10人月必要である。また，プロジェクト管理に，開発と導入・教育を合わせた工数の10%を要する。このプロジェクトに要する全工数は何人月か。ここで，開発の生産性は1人月当たり10FPとする。,4,51,60,65,66,過去3回出題
ソフトウェア開発プロジェクトにおいてWBS(Work Breakdown Structure)を使用する目的として，適切なものはどれか。,4,開発の期間と費用がトレードオフの関係にある場合に，総費用の最適化を図る。,作業の順序関係を明確にして，重点管理すべきクリティカルパスを把握する。,作業の日程を横棒(バー)で表して，作業の開始や終了時点，現時点の進捗を明確にする。,作業を階層的に詳細化して，管理可能な大きさに細分化する。,過去4回出題
オブジェクト指向におけるクラスとインスタンスとの関係のうち，適切なものはどれか。,2,インスタンスはクラスの仕様を定義したものである。,クラスの定義に基づいてインスタンスが生成される。,一つのインスタンスに対して，複数のクラスが対応する。,一つのクラスに対して，インスタンスはただ一つ存在する。,過去2回出題
IDSの機能はどれか。,3,PCにインストールされているソフトウェア製品が最新のバージョンであるかどうかを確認する。,検査対象の製品にテストデータを送り，製品の応答や挙動から脆(ぜい)弱性を検出する。,サーバやネットワークを監視し，侵入や侵害を検知した場合に管理者へ通知する。,情報システムの運用管理状況などの情報セキュリティ対策状況と企業情報を入力し，組織の情報セキュリティへの取組み状況を自己診断する。,過去2回出題
ボットネットにおけるC&Cサーバの役割として，適切なものはどれか。,4,Webサイトのコンテンツをキャッシュし，本来のサーバに代わってコンテンツを利用者に配信することによって，ネットワークやサーバの負荷を軽減する。,外部からインターネットを経由して社内ネットワークにアクセスする際に，CHAPなどのプロトコルを用いることによって，利用者認証時のパスワードの盗聴を防止する。,外部からインターネットを経由して社内ネットワークにアクセスする際に，チャレンジレスポンス方式を採用したワンタイムパスワードを用いることによって，利用者認証時のパスワードの盗聴を防止する。,侵入して乗っ取ったコンピュータに対して，他のコンピュータへの攻撃などの不正な操作をするよう，外部から命令を出したり応答を受け取ったりする。,過去3回出題
組織的なインシデント対応体制の構築や運用を支援する目的でJPCERT/CCが作成したものはどれか。,1,CSIRTマテリアル,ISMSユーザーズガイド,証拠保全ガイドライン,組織における内部不正防止ガイドライン,過去2回出題
アプリケーションソフトウェアにディジタル署名を施す目的はどれか。,1,アプリケーションソフトウェアの改ざんを利用者が検知できるようにする。,アプリケーションソフトウェアの使用を特定の利用者に制限する。,アプリケーションソフトウェアの著作権が作成者にあることを証明する。,アプリケーションソフトウェアの利用者による修正や改変を不可能にする。,過去4回出題
インターネットにおける電子メールの規約で，ヘッダフィールドの拡張を行い，テキストだけでなく，音声，画像なども扱えるようにしたものはどれか。,3,HTML,MHS,MIME,SMTP,過去5回出題
TCP/IPネットワークでDNSが果たす役割はどれか。,4,PCやプリンタなどからのIPアドレス付与の要求に対して，サーバに登録してあるIPアドレスの中から使用されていないIPアドレスを割り当てる。,サーバにあるプログラムを，サーバのIPアドレスを意識することなく，プログラム名の指定だけで呼び出すようにする。,社内のプライベートIPアドレスをグローバルIPアドレスに変換し，インターネットへのアクセスを可能にする。,ドメイン名やホスト名などとIPアドレスとを対応付ける。,過去6回出題
LAN間接続装置に関する記述のうち，適切なものはどれか。,3,ゲートウェイは，OSI基本参照モデルにおける第1～3層だけのプロトコルを変換する。,ブリッジは，IPアドレスを基にしてフレームを中継する。,リピータは，同種のセグメント間で信号を増幅することによって伝送距離を延長する。,ルータは，MACアドレスを基にしてフレームを中継する。,過去6回出題
1.5Mビット／秒の伝送路を用いて12Mバイトのデータを転送するために必要な伝送時間は何秒か。ここで，伝送路の伝送効率を50%とする。,4,16,32,64,128,過去3回出題
データベースが格納されている記憶媒体に故障が発生した場合，バックアップファイルとログを用いてデータベースを回復する操作はどれか。,4,アーカイブ,コミット,チェックポイントダンプ,ロールフォワード,過去2回出題
データ項目の命名規約を設ける場合，次の命名規約だけでは回避できない事象はどれか。     〔命名規約〕     (1)データ項目名の末尾には必ず"名"，"コード"，"数"，"金額"，"年月日"などの区分語を付与し，区分語ごとに定めたデータ型にする。     (2)データ項目名と意味を登録した辞書を作成し，異音同義語や同音異義語が発生しないようにする。,2,データ項目"受信年月日"のデータ型として，日付型と文字列型が混在する。,データ項目"受注金額"の取り得る値の範囲がテーブルによって異なる。,データ項目"賞与金額"と同じ意味で"ボーナス金額"というデータ項目がある。,データ項目"取引先"が，"取引先コード"か"取引先名"か，判別できない。,過去3回出題
液晶ディスプレイなどの表示装置において，傾いた直線を滑らかに表示する手法はどれか。,1,アンチエイリアシング,シェーディング,テクスチャマッピング,バンプマッピング,過去2回出題
DRAMの説明として，適切なものはどれか。,4,1バイト単位でデータの消去及び書込みが可能な不揮発性のメモリであり，電源遮断時もデータ保持が必要な用途に用いられる。,不揮発性のメモリでNAND型又はNOR型があり，SSDに用いられる。,メモリセルはフリップフロップで構成され，キャッシュメモリに用いられる。,リフレッシュ動作が必要なメモリであり，PCの主記憶として用いられる。,過去3回出題
リンカの機能として，適切なものはどれか。,3,作成したプログラムをライブラリに登録する。,実行に先立ってロードモジュールを主記憶にロードする。,相互参照の解決などを行い，複数の目的モジュールなどから一つのロードモジュールを生成する。,プログラムの実行を監視し，ステップごとに実行結果を記録する。,過去3回出題
スプーリング機能の説明として，適切なものはどれか。,3,あるタスクを実行しているときに，入出力命令の実行によってCPUが遊休(アイドル)状態になると，ほかのタスクにCPUを割り当てる。,実行中のプログラムを一時中断して，制御プログラムに制御を移す。,主記憶装置と低速の入出力装置との間のデータ転送を，補助記憶装置を介して行うことによって，システム全体の処理能力を高める。,多数のバッファからなるバッファプールを用意し，主記憶にあるバッファにアクセスする確率を上げることによって，補助記憶装置のアクセス時間を短縮する。,過去4回出題
USB3.0の説明として，適切なものはどれか。,4,1クロックで2ビットの情報を伝送する4対の信号線を使用し，最大1Gビット／秒のスループットをもつインタフェースである。,PCと周辺機器とを接続するATA仕様をシリアル化したものである。,音声，映像などに適したアイソクロナス転送を採用しており，ブロードキャスト転送モードをもつシリアルインタフェースである。,スーパースピードと呼ばれる5Gビット／秒のデータ転送モードをもつシリアルインタフェースである。,過去2回出題
メモリのエラー検出及び訂正にECCを利用している。データバス幅 2nビットに対して冗長ビットがn＋2ビット必要なとき，128ビットのデータバス幅に必要な冗長ビットは何ビットか。,3,7,8,9,10,過去2回出題
Javaの特徴に関する説明として，適切なものはどれか。,4,オブジェクト指向言語であり，複数のスーパクラスを指定する多重継承が可能である。,整数や文字は常にクラスとして扱われる。,ポインタ型があるので，メモリ上のアドレスを直接参照できる。,メモリ管理のためのガーベジコレクションの機能がある。,過去3回出題
クイックソートの処理方法を説明したものはどれか。,3,既に整列済みのデータ列の正しい位置に，データを追加する操作を繰り返していく方法である。,データ中の最小値を求め，次にそれを除いた部分の中から最小値を求める。この操作を繰り返していく方法である。,適当な基準値を選び，それより小さな値のグループと大きな値のグループにデータを分割する。同様にして，グループの中で基準値を選び，それぞれのグループを分割する。この操作を繰り返していく方法である。,隣り合ったデータの比較と入替えを繰り返すことによって，小さな値のデータを次第に端のほうに移していく方法である。,過去3回出題
16進数の小数0.248を10進数の分数で表したものはどれか。,4,31／32,31／125,31／512,73／512,過去2回出題
企業が社会的責任を果たすために実施すべき施策のうち，環境対策の観点から実施するものはどれか。,2,株主に対し，企業の経営状況の透明化を図る。,グリーン購入に向けて社内体制を整備する。,災害時における従業員のボランティア活動を支援する制度を構築する。,社内に倫理ヘルプラインを設置する。,過去2回出題
ディジタルサイネージの説明として，適切なものはどれか。,3,情報技術を利用する機会又は能力によって，地域間又は個人間に生じる経済的又は社会的な格差,情報の正当性を保証するために使用される電子的な署名,ディスプレイに映像，文字などの情報を表示する電子看板,不正利用を防止するためにデータに識別情報を埋め込む技術,過去3回出題
CGM(Consumer Generated Media)の例はどれか。,4,企業が，経営状況や財務状況，業績動向に関する情報を，個人投資家向けに公開する自社のWebサイト,企業が，自社の商品の特徴や使用方法に関する情報を，一般消費者向けに発信する自社のWebサイト,行政機関が，政策，行政サービスに関する情報を，一般市民向けに公開する自組織のWebサイト,個人が，自らが使用した商品などの評価に関する情報を，不特定多数に向けて発信するブログやSNSなどのWebサイト,過去2回出題
プロセスイノベーションに関する記述として，適切なものはどれか。,2,競争を経て広く採用され，結果として事実上の標準となる。,製品の品質を向上する革新的な製造工程を開発する。,独創的かつ高い技術を基に革新的な新製品を開発する。,半導体の製造プロセスをもっている企業に製造を委託する。,過去2回出題
特定顧客，特定製品のセグメントに資源を集中し，専門化を図る戦略はどれか。,2,チャレンジャ戦略,ニッチ戦略,フォロワ戦略,リーダー戦略,過去2回出題
企業経営で用いられるコアコンピタンスを説明したものはどれか。,2,企業全体の経営資源の配分を有効かつ統合的に管理し，経営の効率向上を図ることである。,競争優位の源泉となる，他社よりも優越した自社独自のスキルや技術などの強みである。,業務プロセスを根本的に考え直し，抜本的にデザインし直すことによって，企業のコスト，品質，サービス，スピードなどを劇的に改善することである。,最強の競合相手又は先進企業と比較して，製品，サービス，オペレーションなどを定性的・定量的に把握することである。,過去2回出題
非機能要件項目はどれか。,4,新しい業務の在り方や運用に関わる業務手順，入出力情報，組織，責任，権限，業務上の制約などの項目,新しい業務の遂行に必要なアプリケーションシステムに関わる利用者の作業，システム機能の実現範囲，機能間の情報の流れなどの項目,経営戦略や情報戦略に関わる経営上のニーズ，システム化・システム改善を必要とする業務上の課題，求められる成果・目標などの項目,システム基盤に関わる可用性，性能，拡張性，運用性，保守性，移行性などの項目,過去3回出題
BI(Business Intelligence)の活用事例として，適切なものはどれか。,2,競合する他社が発行するアニュアルレポートなどの刊行物を入手し，経営戦略や財務状況を把握する。,業績の評価や経営戦略の策定を行うために，業務システムなどに蓄積された膨大なデータを分析する。,電子化された学習教材を社員がネットワーク経由で利用することを可能にし，学習・成績管理を行う。,りん議や決裁など，日常の定型的業務を電子化することによって，手続を確実に行い，処理を迅速にする。,過去2回出題
エンタープライズアーキテクチャを構成するアプリケーションアーキテクチャについて説明したものはどれか。,2,業務に必要なデータの内容，データ間の関連や構造などを体系的に示したもの,業務プロセスを支援するシステムの機能や構成などを体系的に示したもの,情報システムの構築・運用に必要な技術的構成要素を体系的に示したもの,ビジネス戦略に必要な業務プロセスや情報の流れを体系的に示したもの,過去3回出題
経営者が社内のシステム監査人の外観上の独立性を担保とするために講じる措置として，最も適切なものはどれか。,4,システム監査人にITに関する継続的学習を義務付ける。,システム監査人に必要な知識や経験を定めて公表する。,システム監査人の監査技法研修制度を設ける。,システム監査人の所属部署を内部監査部門とする。,過去2回出題
システム監査人がインタビュー実施時にすべきことのうち，最も適切なものはどれか。,1,インタビューで監査対象部門から得た情報を裏付けるための文書や記録を入手するよう努める。,インタビューの中で気が付いた不備事項について，その場で監査対象部門に改善を指示する。,監査対象部門内の監査業務を経験したことのある管理者をインタビューの対象者として選ぶ。,複数の監査人でインタビューを行うと記録内容に相違が出ることがあるので，1人の監査人が行う。,過去5回出題
ディスク障害時に，フルバックアップを取得してあるテープからディスクにデータを復元した後，フルバックアップ取得時以降の更新後コピーをログから反映させてデータベースを回復する方法はどれか。,4,チェックポイントリスタート,リブート,ロールバック,ロールフォワード,過去3回出題
システムの移行テストを実施する主要な目的はどれか。,1,確実性や効率性の観点で，既存システムから新システムへの切替え手順や切替えに伴う問題点を確認する。,既存システムの実データのコピーを利用して，新システムでも十分な性能が得られることを確認する。,既存の他システムのプログラムと新たに開発したプログラムとのインタフェースの整合性を確認する。,新システムが，要求されたすべての機能を満たしていることを確認する。,過去2回出題
JavaScriptの非同期通信の機能を使うことによって，動的なユーザインタフェースを画面遷移を伴わずに実現する技術はどれか。,1,Ajax,CSS,RSS,SNS,過去3回出題
ブラックボックステストに関する記述として，最も適切なものはどれか。,2,テストデータの作成基準として，プログラムの命令や分岐に対する網羅率を使用する。,被テストプログラムに冗長なコードがあっても検出できない。,プログラムの内部構造に着目し，必要な部分が実行されたかどうかを検証する。,分岐命令やモジュールの数が増えると，テストデータが急増する。,過去6回出題
UMLにおける振る舞い図の説明のうち，アクティビティ図のものはどれか。,1,ある振る舞いから次の振る舞いへの制御の流れを表現する。,オブジェクト間の相互作用を時系列で表現する。,システムが外部に提供する機能と，それを利用する者や外部システムとの関係を表現する。,一つのオブジェクトの状態がイベントの発生や時間の経過とともにどのように変化するかを表現する。,過去2回出題
OSI基本参照モデルのネットワーク層で動作し，"認証ヘッダ(AH)"と"暗号ペイロード(ESP)"の二つのプロトコルを含むものはどれか。,1,IPsec,S/MIME,SSH,XML暗号,過去3回出題
不正が発生する際には"不正のトライアングル"の3要素全てが存在すると考えられている。"不正のトライアングル"の構成要素の説明として，適切なものはどれか。,1,"機会"とは，情報システムなどの技術や物理的な環境，組織のルールなど，内部者による不正行為の実行を可能又は容易にする環境の存在である。,"情報と伝達"とは，必要な情報が識別，把握及び処理され，組織内外及び関係者相互に正しく伝えられるようにすることである。,"正当化"とは，ノルマによるプレッシャなどのことである。,"動機"とは，良心のかしゃくを乗り越える都合の良い解釈や他人への責任転嫁など，内部者が不正行為を自ら納得させるための自分勝手な理由付けである。,過去2回出題
JIS Q 27000:2014(情報セキュリティマネジメントシステム－用語)における"リスクレベル"の定義はどれか。,2,脅威によって付け込まれる可能性のある，資産又は管理策の弱点,結果とその起こりやすさの組合せとして表現される，リスクの大きさ,対応すべきリスクに付与する優先順位,リスクの重大性を評価するために目安とする条件,過去2回出題
リスク対応のうち，リスクファイナンシングに該当するものはどれか。,1,システムが被害を受けるリスクを想定して，保険を掛ける。,システムの被害につながるリスクの顕在化を抑える対策に資金を投入する。,リスクが大きいと評価されたシステムを廃止し，新たなセキュアなシステムの構築に資金を投入する。,リスクが顕在化した場合のシステムの被害を小さくする設備に資金を投入する。,過去2回出題
メッセージ認証符号の利用目的に該当するものはどれか。,1,メッセージが改ざんされていないことを確認する。,メッセージの暗号化方式を確認する。,メッセージの概要を確認する。,メッセージの秘匿性を確保する。,過去6回出題
パスワードリスト攻撃の手口に該当するものはどれか。,3,辞書にある単語をパスワードに設定している利用者がいる状況に着目して，攻撃対象とする利用者IDを一つ定め，辞書にある単語やその組合せをパスワードとして，ログインを試行する。,パスワードの文字数の上限が小さいWebサイトに対して，攻撃対象とする利用者IDを一つ定め，文字を組み合わせたパスワードを総当たりして，ログインを試行する。,複数サイトで同一の利用者IDとパスワードを使っている利用者がいる状況に着目して，不正に取得した他サイトの利用者IDとパスワードの一覧表を用いて，ログインを試行する。,よく用いられるパスワードを一つ定め，文字を組み合わせた利用者IDを総当たりして，ログインを試行する。,過去2回出題
OpenFlowを使ったSDN(Software-Defined Networking)の説明として，適切なものはどれか。,3,RFIDを用いるIoT(Internet of Things)技術の一つであり，物流ネットワークを最適化するためのソフトウェアアーキテクチャ,様々なコンテンツをインターネット経由で効率よく配信するために開発された，ネットワーク上のサーバの最適配置手法,データ転送と経路制御の機能を論理的に分離し，データ転送に特化したネットワーク機器とソフトウェアによる経路制御の組合せで実現するネットワーク技術,データフロー図やアクティビティ図などを活用し，業務プロセスの問題点を発見して改善を行うための，業務分析と可視化ソフトウェアの技術,過去2回出題
トランスポート層のプロトコルであり，信頼性よりもリアルタイム性が重視される場合に用いられるものはどれか。,4,HTTP,IP,TCP,UDP,過去2回出題
OSI基本参照モデルのトランスポート層以上が異なるLANシステム相互間でプロトコル変換を行う機器はどれか。,1,ゲートウェイ,ブリッジ,リピータ,ルータ,過去3回出題
音声のサンプリングを1秒間に11000回行い，サンプリングした値をそれぞれ8ビットのデータとして記録する。このとき，512×10^6バイトの容量をもつフラッシュメモリに記録できる音声の長さは，最大何分か。,3,77,96,775,969,過去6回出題
GUIの部品の一つであるラジオボタンの用途として，適切なものはどれか。,3,幾つかの項目について，それぞれの項目を選択するかどうかを指定する。,幾つかの選択項目から一つを選ぶときに，選択項目にないものはテキストボックスに入力する。,互いに排他的な幾つかの選択項目から一つを選ぶ。,特定の項目を選択することによって表示される一覧形式の項目の中から一つを選ぶ。,過去3回出題
メモリセルにフリップフロップ回路を利用したものはどれか。,4,DRAM,EEPROM,SDRAM,SRAM,過去5回出題
OSIによるオープンソースソフトウェアの定義に従うときのオープンソースソフトウェアに対する取扱いとして，適切なものはどれか。,4,ある特定の業界向けに作成されたオープンソースソフトウェアは，ソースコードを公開する範囲をその業界に限定することができる。,オープンソースソフトウェアを改変し再配布する場合，元のソフトウェアと同じ配布条件となるように，同じライセンスを適用して配布する必要がある。,オープンソースソフトウェアを第三者が製品として再配布する場合，そのオープンソースソフトウェアの開発者は第三者に対してライセンス費を請求することができる。,社内での利用などのようにオープンソースソフトウェアを改変しても再配布しない場合，改変部分のソースコードを公開しなくてもよい。,過去2回出題
タスクのディスパッチの説明として，適切なものはどれか。,2,各タスクの実行順序を決定すること,実行可能なタスクに対してプロセッサの使用権を割り当てること,タスクの実行に必要な情報であるコンテキストのこと,一つのプロセッサで複数のタスクを同時に実行しているかのように見せかけた状態のこと,過去2回出題
96dpiのディスプレイに12ポイントの文字をビットマップで表示したい。正方フォントの縦は何ドットになるか。ここで，1ポイントは1／72インチとする。,4,8,9,12,16,過去2回出題
外部割込みの原因となるものはどれか。,3,ゼロによる除算命令の実行,存在しない命令コードの実行,タイマによる時間経過の通知,ページフォールトの発生,過去2回出題
複数のプロセスから同時に呼び出されたときに，互いに干渉することなく並行して動作することができるプログラムの性質を表すものはどれか。,1,リエントラント,リカーシブ,リユーザブル,リロケータブル,過去2回出題
P，Q，Rはいずれも命題である。命題Pの真理値は真であり，命題 (not P) or Q 及び命題 (not Q) or R のいずれの真理値も真であることが分かっている。Q，Rの真理値はどれか。ここで，X or Y は X と Y の論理和，not X は X の否定を表す。,4,Q = 偽    R = 偽,Q = 偽    R = 真,Q = 真    R = 偽,Q = 真    R = 真,過去2回出題
最上位をパリティビットとする8ビット符号において，パリティビット以外の下位7ビットを得るためのビット演算はどれか。,3,16進数0FとのANDをとる。,16進数0FとのORをとる。,16進数7FとのANDをとる。,16進数FFとのXOR(排他的論理和)をとる。,過去4回出題
10進数の演算式7÷32の結果を2進数で表したものはどれか。,3,0.001011,0.001101,0.00111,0.0111,過去3回出題
ソフトウェアやデータに瑕疵(かし)がある場合に，製造物責任法の対象となるものはどれか,1,ROM化したソフトウェアを内蔵した組込み機器,アプリケーションソフトウェアパッケージ,利用者がPCにインストールしたOS,利用者によってネットワークからダウンロードされたデータ,過去6回出題
シュリンクラップ契約において，ソフトウェアの使用許諾契約が成立するのはどの時点か,3,購入したソフトウェアの代金を支払った時点,ソフトウェアの入ったDVD-ROMを受け取った時点,ソフトウェアの入ったDVD-ROMの包装を解いた時点,ソフトウェアをPCにインストールした時点,過去2回出題
売上高が100百万円のとき，変動費が60百万円，固定費が30百万円掛かる。変動費率，固定費は変わらないものとして，目標利益18百万円を達成するのに必要な売上高は何百万円か。,2,108,120,156,180,過去3回出題
CIOの果たすべき役割はどれか。,3,各部門の代表として，自部門のシステム化案を情報システム部門に提示する。,情報技術に関する調査，利用研究，関連部門への教育などを実施する。,全社的観点から情報化戦略を立案し，経営戦略との整合性の確認や評価を行う。,豊富な業務経験，情報技術の知識，リーダシップをもち，プロジェクトの運営を管理する。,過去4回出題
"かんばん方式"を説明したものはどれか。,3,各作業の効率を向上させるために，仕様が統一された部品，半製品を調達する。,効率よく部品調達を行うために，関連会社から部品を調達する。,中間在庫を極力減らすために，生産ラインにおいて，後工程の生産に必要な部品だけを前工程から調達する。,より品質が高い部品を調達するために，部品の納入指定業者を複数定め，競争入札で部品を調達する。,過去4回出題
ディジタルディバイドを説明したものはどれか。,4,PCなどの情報通信機器の利用方法が分からなかったり，情報通信機器を所有していなかったりして，情報の入手が困難な人々のことである。,高齢者や障害者の情報通信の利用面での困難が，社会的又は経済的な格差につながらないように，誰もが情報通信を利活用できるように整備された環境のことである。,情報通信機器やソフトウェア，情報サービスなどを，高齢者・障害者を含む全ての人が利用可能であるか，利用しやすくなっているかの度合いのことである。,情報リテラシの有無やITの利用環境の相違などによって生じる，社会的又は経済的な格差のことである。,過去4回出題
技術経営におけるプロダクトイノベーションの説明として，適切なものはどれか。,1,新たな商品や他社との差別化ができる商品を開発すること,技術開発の成果によって事業利益を獲得すること,技術を核とするビジネスを戦略的にマネジメントすること,業務プロセスにおいて革新的な改革をすること,過去2回出題
バランススコアカードの内部ビジネスプロセスの視点における戦略目標と業績評価指標の例はどれか。,4,持続的成長が目標であるので，受注残を指標とする。,主要顧客との継続的な関係構築が目標であるので，クレーム件数を指標とする。,製品開発力の向上が目標であるので，製品開発領域の研修受講時間を指標とする。,製品の製造の生産性向上が目標であるので，製造期間短縮日数を指標とする。,過去2回出題
非機能要件の定義で行う作業はどれか。,2,業務を構成する機能間の情報(データ)の流れを明確にする。,システム開発で用いるプログラム言語に合わせた開発基準，標準の技術要件を作成する。,システム機能として実現する範囲を定義する。,他システムとの情報授受などのインタフェースを明確にする。,過去5回出題
情報化投資において，リスクや投資価値の類似性でカテゴリ分けし，最適な資源配分を行う際に用いる手法はどれか。,2,3C分析,ITポートフォリオ,エンタープライズアーキテクチャ,ベンチマーキング,過去3回出題
アクセス制御を監査するシステム監査人の行為のうち，適切なものはどれか。,2,ソフトウェアに関するアクセス制御の管理台帳を作成し，保管した。,データに関するアクセス制御の管理規程を閲覧した。,ネットワークに関するアクセス制御の管理方針を制定した。,ハードウェアに関するアクセス制御の運用手続を実施した。,過去3回出題
情報システム部が開発して経理部が運用している会計システムの運用状況を，経営者からの指示で監査することになった。この場合におけるシステム監査人についての記述のうち，最も適切なものはどれか。,4,会計システムは企業会計に関する各種基準に準拠すべきなので，システム監査人を公認会計士とする。,会計システムは機密性の高い情報を扱うので，システム監査人は経理部長直属とする。,システム監査を効率的に行うために，システム監査人は情報システム部長直属とする。,独立性を担保するために，システム監査人は情報システム部にも経理部にも所属しない者とする。,過去2回出題
システムテストの監査におけるチェックポイントのうち，適切なものはどれか。,1,テストケースが網羅的に想定されていること,テスト計画は利用者側の責任者だけで承認されていること,テストは実際に業務が行われている環境で実施されていること,テストは利用者側の担当者だけで行われていること,過去3回出題
事業継続計画で用いられる用語であり，インシデントの発生後，次のいずれかの事項までに要する時間を表すものはどれか。     (1)製品又はサービスが再開される。     (2)事業活動が再開される。     (3)資源が復旧される。,4,MTBF,MTTR,RPO,RTO,過去2回出題
システムの移行計画に関する記述のうち，適切なものはどれか。,1,移行計画書には，移行作業が失敗した場合に旧システムに戻す際の判断基準が必要である。,移行するデータ量が多いほど，切替え直前に一括してデータの移行作業を実施すべきである。,新旧両システムで環境の一部を共有することによって，移行の確認が容易になる。,新旧両システムを並行運用することによって，移行に必要な費用が低減できる。,過去2回出題
ソフトウェア開発の見積方法の一つであるファンクションポイント法の説明として，適切なものはどれか。,3,開発規模が分かっていることを前提として，工数と工期を見積もる方法である。ビジネス分野に限らず，全分野に適用可能である。,過去に経験した類似のソフトウェアについてのデータを基にして，ソフトウェアの相違点を調べ，同じ部分については過去のデータを使い，異なった部分は経験に基づいて，規模と工数を見積もる方法である。,ソフトウェアの機能を入出力データ数やファイル数などによって定量的に計測し，複雑さによる調整を行って，ソフトウェア規模を見積もる方法である。,単位作業項目に適用する作業量の基準値を決めておき，作業項目を単位作業項目まで分解し，基準値を適用して算出した作業量の積算で全体の作業量を見積もる方法である。,過去5回出題
XP(eXtreme Programming)において，プラクティスとして提唱されているものはどれか。,3,インスペクション,構造化設計,ペアプログラミング,ユースケースの活用,過去2回出題
テストで使用されるドライバ又はスタブの説明のうち，適切なものはどれか。,4,スタブは，テスト対象のモジュールからの戻り値の表示・印刷を行う。,スタブは，テスト対象モジュールを呼び出すモジュールである。,ドライバは，テスト対象モジュールから呼び出されるモジュールである。,ドライバは，引数を渡してテスト対象モジュールを呼び出す。,過去5回出題
モジュール結合度が最も弱くなるものはどれか。,2,一つのモジュールで，できるだけ多くの機能を実現する。,二つのモジュール間で必要なデータ項目だけを引数として渡す。,他のモジュールとデータ項目を共有するためにグローバルな領域を使用する。,他のモジュールを呼び出すときに，呼び出されたモジュールの論理を制御するための引数を渡す。,過去3回出題
SIEM(Security Information and Event Management)の機能はどれか。,2,隔離された仮想環境でファイルを実行して，C&Cサーバへの通信などの振る舞いを監視する。,様々な機器から集められたログを総合的に分析し，管理者による分析と対応を支援する。,ネットワーク上の様々な通信機器を集中的に制御し，ネットワーク構成やセキュリティ設定などを変更する。,パケットのヘッダ情報の検査だけではなく，通信先のアプリケーショプログラムを識別して通信を制御する。,過去2回出題
