“コンピュータ不正アクセス対策基準”に適合しているものはどれか。,4,監視効率を向上させるためにすべてのネットワークを相互接続する。,業務上必要な場合は，利用者 ID を個人間で共有して使用できる。,システム管理者が，すべての権限をもつ利用者 ID を常に使用できる。,組織のセキュリティ方針を文書化し，定期的に研修を開催する。,平成21年春期 午前問80
液晶ディスプレイなどの表示装置において，傾いた直線を滑らかに表示する手法はどれか。,1,アンチエイリアシング,シェーディング,テクスチャマッピング,バンプマッピング,平成30年秋期 午前問25
二次電池(充電式電池)はどれか。,4,アルカリマンガン乾電池,酸化銀電池,燃料電池,リチウムイオン電池,平成30年秋期 午前問23
DRAMの説明として，適切なものはどれか。,4,1バイト単位でデータの消去及び書込みが可能な不揮発性のメモリであり，電源遮断時もデータ保持が必要な用途に用いられる。,不揮発性のメモリでNAND型又はNOR型があり，SSDに用いられる。,メモリセルはフリップフロップで構成され，キャッシュメモリに用いられる。,リフレッシュ動作が必要なメモリであり，PCの主記憶として用いられる。,平成30年秋期 午前問21
リンカの機能として，適切なものはどれか。,3,作成したプログラムをライブラリに登録する。,実行に先立ってロードモジュールを主記憶にロードする。,相互参照の解決などを行い，複数の目的モジュールなどから一つのロードモジュールを生成する。,プログラムの実行を監視し，ステップごとに実行結果を記録する。,平成30年秋期 午前問20
手続型言語のコンパイラが行う処理のうち，最初に行う処理はどれか。,4,意味解析,構文解析,最適化,字句解析,平成30年秋期 午前問19
スケジューリングに関する記述のうち，ラウンドロビン方式の説明として，適切なものはどれか。,1,各タスクに，均等にCPU時間を割り当てて実行させる方式である。,各タスクに，ターンアラウンドタイムに比例したCPU時間を割り当てて実行させる方式である。,各タスクの実行イベント発生に応じて，リアルタイムに実行させる方式である。,各タスクを，優先度の高い順に実行させる方式である。,平成30年秋期 午前問18
スプーリング機能の説明として，適切なものはどれか。,3,あるタスクを実行しているときに，入出力命令の実行によってCPUが遊休(アイドル)状態になると，ほかのタスクにCPUを割り当てる。,実行中のプログラムを一時中断して，制御プログラムに制御を移す。,主記憶装置と低速の入出力装置との間のデータ転送を，補助記憶装置を介して行うことによって，システム全体の処理能力を高める。,多数のバッファからなるバッファプールを用意し，主記憶にあるバッファにアクセスする確率を上げることによって，補助記憶装置のアクセス時間を短縮する。,平成30年秋期 午前問17
稼働状況が継続的に監視されているシステムがある。稼働して数年後に新規業務をシステムに適用する場合に実施する，キャパシティプランニングの作業項目の順序として，適切なものはどれか。     〔キャパシティプランニングの作業項目〕     ①システム構成の案について，適正なものかどうかを評価し，必要があれば見直しを行う。     ②システム特性に合わせて，サーバの台数，並列分散処理の実施の有無など，必要なシステム構成の案を検討する。     ③システムの稼働状況から，ハードウェアの性能情報やシステム固有の環境を把握する。     ④利用者などに新規業務をヒアリングし，想定される処理件数や処理に要する時間といったシステムに求められる要件を把握する。,2,③，②，④，①,③，④，②，①,④，②，①，③,④，③，①，②,平成30年秋期 午前問14
Webシステムにおいて，Webサーバとアプリケーション(AP)サーバを異なる物理サーバに配置する場合のメリットとして，適切なものはどれか。,4,Webサーバにクライアントの実行環境が実装されているので，リクエストのたびにクライアントとAPサーバの間で画面データをやり取りする必要がなく，データ通信量が少なくて済む。,Webブラウザの文字コード体系とAPサーバの文字コード体系の違いをWebサーバが吸収するので，文字化けが発生しない。,Webブラウザの文字コード体系とAPサーバの文字コード体系の違いをWebサーバが吸収するので，文字化けが発生しない。,負荷が軽い静的コンテンツへのリクエストはWebサーバで処理し，負荷が重い動的コンテンツへのリクエストはAPサーバで処理するように，クライアントからのリクエストの種類に応じて処理を分担できる。,平成30年秋期 午前問13
USB3.0の説明として，適切なものはどれか。,4,1クロックで2ビットの情報を伝送する4対の信号線を使用し，最大1Gビット／秒のスループットをもつインタフェースである。,PCと周辺機器とを接続するATA仕様をシリアル化したものである。,音声，映像などに適したアイソクロナス転送を採用しており，ブロードキャスト転送モードをもつシリアルインタフェースである。,スーパースピードと呼ばれる5Gビット／秒のデータ転送モードをもつシリアルインタフェースである。,平成30年秋期 午前問12
メモリのエラー検出及び訂正にECCを利用している。データバス幅 2nビットに対して冗長ビットがn＋2ビット必要なとき，128ビットのデータバス幅に必要な冗長ビットは何ビットか。,3,7,8,9,10,平成30年秋期 午前問11
割込み処理の終了後に割込みによって中断された処理を割り込まれた場所から再開するために，割込み発生時にプロセッサが保存するものはどれか。,3,インデックスレジスタ,データレジスタ,プログラムカウンタ,命令レジスタ,平成30年秋期 午前問10
Javaの特徴に関する説明として，適切なものはどれか。,4,オブジェクト指向言語であり，複数のスーパクラスを指定する多重継承が可能である。,整数や文字は常にクラスとして扱われる。,ポインタ型があるので，メモリ上のアドレスを直接参照できる。,メモリ管理のためのガーベジコレクションの機能がある。,平成30年秋期 午前問8
プログラムのコーディング規約に規定する事項のうち，適切なものはどれか。,4,局所変数は，用途が異なる場合でもデータ型が同じならば，できるだけ同一の変数を使うようにする。,処理性能を向上させるために，ループの制御変数には浮動小数点型変数を使用する。,同様の計算を何度も繰り返すときは，関数の再帰呼出しを用いる。,領域割付け関数を使用するときは，割付けができなかったときの処理を記述する。,平成30年秋期 午前問7
クイックソートの処理方法を説明したものはどれか。,3,既に整列済みのデータ列の正しい位置に，データを追加する操作を繰り返していく方法である。,データ中の最小値を求め，次にそれを除いた部分の中から最小値を求める。この操作を繰り返していく方法である。,適当な基準値を選び，それより小さな値のグループと大きな値のグループにデータを分割する。同様にして，グループの中で基準値を選び，それぞれのグループを分割する。この操作を繰り返していく方法である。,隣り合ったデータの比較と入替えを繰り返すことによって，小さな値のデータを次第に端のほうに移していく方法である。,平成30年秋期 午前問6
AIにおける機械学習の説明として，最も適切なものはどれか。,1,記憶したデータから特定のパターンを見つけ出すなどの，人が自然に行っている学習能力をコンピュータにもたせるための技術,コンピュータ，機械などを使って，生命現象や進化のプロセスを再現するための技術,特定の分野の専門知識をコンピュータに入力し，入力された知識を用いてコンピュータが推論する技術,人が双方向学習を行うために，Webシステムなどの情報技術を用いて，教材や学習管理能力をコンピュータにもたせるための技術,平成30年秋期 午前問3
16進数の小数0.248を10進数の分数で表したものはどれか。,4,31／32,31／125,31／512,73／512,平成30年秋期 午前問1
インターネットで利用される技術の標準化を図り，技術仕様をRFCとして策定している組織はどれか。,3,ANSI,IEEE,IETF,NIST,平成31年春期 午前問80
著作者人格権に該当するものはどれか。,4,印刷，撮影，複写などの方法によって著作物を複製する権利,公衆からの要求に応じて自動的にサーバから情報を送信する権利,著作物の複製物を公衆に貸し出す権利,自らの意思に反して著作物を変更，切除されない権利,平成31年春期 午前問79
社内カンパニー制を説明したものはどれか。,4,1部門を切り離して別会社として独立させ，機動力のある多角化戦略を展開する。,合併，買収によって，自社にない経営資源を相手企業から得て，スピーディな戦略展開を図る。,時間を掛けて研究・開発を行い，その成果を経営戦略の基礎とする。,事業分野ごとの仮想企業を作り，経営資源配分の効率化，意思決定の迅速化，創造性の発揮を促進する。,平成31年春期 午前問76
企業が社会的責任を果たすために実施すべき施策のうち，環境対策の観点から実施するものはどれか。,2,株主に対し，企業の経営状況の透明化を図る。,グリーン購入に向けて社内体制を整備する。,災害時における従業員のボランティア活動を支援する制度を構築する。,社内に倫理ヘルプラインを設置する。,平成31年春期 午前問75
ディジタルサイネージの説明として，適切なものはどれか。,3,情報技術を利用する機会又は能力によって，地域間又は個人間に生じる経済的又は社会的な格差,情報の正当性を保証するために使用される電子的な署名,ディスプレイに映像，文字などの情報を表示する電子看板,不正利用を防止するためにデータに識別情報を埋め込む技術,平成31年春期 午前問74
シェアリングエコノミーの説明はどれか。,4,ITの活用によって経済全体の生産性が高まり，更にSCMの進展によって需給ギャップが解消されるので，インフレなき成長が持続するという概念である。,ITを用いて，再生可能エネルギーや都市基盤の効率的な管理・運営を行い，人々の生活の質を高め，継続的な経済発展を実現するという概念である。,商取引において，実店舗販売とインターネット販売を組み合わせ，それぞれの長所を生かして連携させることによって，全体の売上を拡大する仕組みである。,ソーシャルメディアのコミュニティ機能などを活用して，主に個人同士で，個人が保有している遊休資産を共有したり，貸し借りしたりする仕組みである。,平成31年春期 午前問73
CGM(Consumer Generated Media)の例はどれか。,4,企業が，経営状況や財務状況，業績動向に関する情報を，個人投資家向けに公開する自社のWebサイト,企業が，自社の商品の特徴や使用方法に関する情報を，一般消費者向けに発信する自社のWebサイト,行政機関が，政策，行政サービスに関する情報を，一般市民向けに公開する自組織のWebサイト,個人が，自らが使用した商品などの評価に関する情報を，不特定多数に向けて発信するブログやSNSなどのWebサイト,平成31年春期 午前問72
IoTの応用事例のうち，HEMSの説明はどれか。,4,工場内の機械に取り付けたセンサで振動，温度，音などを常時計測し，収集したデータを基に機械の劣化状態を分析して，適切なタイミングで部品を交換する。,自動車に取り付けたセンサで車両の状態，路面状況などのデータを計測し，ネットワークを介して保存し分析することによって，効率的な運転を支援する。,情報通信技術や環境技術を駆使して，街灯などの公共設備や交通システムをはじめとする都市基盤のエネルギーの可視化と消費の最適制御を行う。,太陽光発電装置などのエネルギー機器，家電機器，センサ類などを家庭内通信ネットワークに接続して，エネルギーの可視化と消費の最適制御を行う。,平成31年春期 午前問71
プロセスイノベーションに関する記述として，適切なものはどれか。,2,競争を経て広く採用され，結果として事実上の標準となる。,製品の品質を向上する革新的な製造工程を開発する。,独創的かつ高い技術を基に革新的な新製品を開発する。,半導体の製造プロセスをもっている企業に製造を委託する。,平成31年春期 午前問70
サイトアクセス者の総人数に対して，最終成果である商品やサービスの購入に至る人数の割合を高める目的でショッピングサイトの画面デザインを見直すことにした。効果を測るために，見直し前後で比較すべき，効果を直接示す値はどれか。,2,ROAS(Return On Advertising Spend),コンバージョン率,バナー広告のクリック率,ページビュー,平成31年春期 午前問69
特定顧客，特定製品のセグメントに資源を集中し，専門化を図る戦略はどれか。,2,チャレンジャ戦略,ニッチ戦略,フォロワ戦略,リーダー戦略,平成31年春期 午前問68
企業経営で用いられるコアコンピタンスを説明したものはどれか。,2,企業全体の経営資源の配分を有効かつ統合的に管理し，経営の効率向上を図ることである。,競争優位の源泉となる，他社よりも優越した自社独自のスキルや技術などの強みである。,業務プロセスを根本的に考え直し，抜本的にデザインし直すことによって，企業のコスト，品質，サービス，スピードなどを劇的に改善することである。,最強の競合相手又は先進企業と比較して，製品，サービス，オペレーションなどを定性的・定量的に把握することである。,平成31年春期 午前問67
非機能要件項目はどれか。,4,新しい業務の在り方や運用に関わる業務手順，入出力情報，組織，責任，権限，業務上の制約などの項目,新しい業務の遂行に必要なアプリケーションシステムに関わる利用者の作業，システム機能の実現範囲，機能間の情報の流れなどの項目,経営戦略や情報戦略に関わる経営上のニーズ，システム化・システム改善を必要とする業務上の課題，求められる成果・目標などの項目,システム基盤に関わる可用性，性能，拡張性，運用性，保守性，移行性などの項目,平成31年春期 午前問66
BI(Business Intelligence)の活用事例として，適切なものはどれか。,2,競合する他社が発行するアニュアルレポートなどの刊行物を入手し，経営戦略や財務状況を把握する。,業績の評価や経営戦略の策定を行うために，業務システムなどに蓄積された膨大なデータを分析する。,電子化された学習教材を社員がネットワーク経由で利用することを可能にし，学習・成績管理を行う。,りん議や決裁など，日常の定型的業務を電子化することによって，手続を確実に行い，処理を迅速にする。,平成31年春期 午前問63
オンデマンド型のサービスはどれか。,4,インターネットサイトで購入したDVDで視聴する映画,出版社が部数を決めてオフセット印刷した文庫本,定期的に決められたスケジュールでスマートフォンに配信されるインターネットニュース,利用者の要求に応じてインターネット上で配信される再放送のドラマ,平成31年春期 午前問62
エンタープライズアーキテクチャを構成するアプリケーションアーキテクチャについて説明したものはどれか。,2,業務に必要なデータの内容，データ間の関連や構造などを体系的に示したもの,業務プロセスを支援するシステムの機能や構成などを体系的に示したもの,情報システムの構築・運用に必要な技術的構成要素を体系的に示したもの,ビジネス戦略に必要な業務プロセスや情報の流れを体系的に示したもの,平成31年春期 午前問61
A社では，自然災害などの際の事業継続を目的として，業務システムのデータベースのバックアップを取得している。その状況について，"情報セキュリティ管理基準(平成28年)"に従って実施した監査結果として判明した状況のうち，監査人が指摘事項として監査報告書に記載すべきものはどれか。,4,バックアップ取得手順書を作成し，取得担当者を定めていた。,バックアップを取得した電子記録媒体からデータベースを復旧する試験を，事前に定めたスケジュールに従って実施していた。,バックアップを取得した電子記録媒体を，機密保持を含む契約を取り交わした外部の倉庫会社に委託保管していた。,バックアップを取得した電子記録媒体を，業務システムが稼働しているサーバの近くで保管していた。,平成31年春期 午前問60
経営者が社内のシステム監査人の外観上の独立性を担保とするために講じる措置として，最も適切なものはどれか。,4,システム監査人にITに関する継続的学習を義務付ける。,システム監査人に必要な知識や経験を定めて公表する。,システム監査人の監査技法研修制度を設ける。,システム監査人の所属部署を内部監査部門とする。,平成31年春期 午前問59
システム監査人がインタビュー実施時にすべきことのうち，最も適切なものはどれか。,1,インタビューで監査対象部門から得た情報を裏付けるための文書や記録を入手するよう努める。,インタビューの中で気が付いた不備事項について，その場で監査対象部門に改善を指示する。,監査対象部門内の監査業務を経験したことのある管理者をインタビューの対象者として選ぶ。,複数の監査人でインタビューを行うと記録内容に相違が出ることがあるので，1人の監査人が行う。,平成31年春期 午前問58
ディスク障害時に，フルバックアップを取得してあるテープからディスクにデータを復元した後，フルバックアップ取得時以降の更新後コピーをログから反映させてデータベースを回復する方法はどれか。,4,チェックポイントリスタート,リブート,ロールバック,ロールフォワード,平成31年春期 午前問57
システムの移行テストを実施する主要な目的はどれか。,1,確実性や効率性の観点で，既存システムから新システムへの切替え手順や切替えに伴う問題点を確認する。,既存システムの実データのコピーを利用して，新システムでも十分な性能が得られることを確認する。,既存の他システムのプログラムと新たに開発したプログラムとのインタフェースの整合性を確認する。,新システムが，要求されたすべての機能を満たしていることを確認する。,平成31年春期 午前問56
サービスマネジメントのプロセス改善におけるベンチマーキングはどれか。,2,ITサービスのパフォーマンスを財務，顧客，内部プロセス，学習と成長の観点から測定し，戦略的な活動をサポートする。,業界内外の優れた業務方法(ベストプラクティス)と比較して，サービス品質及びパフォーマンスのレベルを評価する。,サービスのレベルで可用性，信頼性，パフォーマンスを測定し，顧客に報告する。,強み，弱み，機会，脅威の観点からITサービスマネジメントの現状を分析する。,平成31年春期 午前問55
ある会場で資格試験を実施する際のアクティビティである"受付"と"試験"の依存関係のうち，プレシデンスダイアグラム法(PDM)の開始-終了関係はどれか。,4,受付の開始から30分経過したら，試験を開始する。,受付の終了から10分経過したら，試験を開始する。,受付の終了から45分経過したら，試験を終了する。,試験の開始から20分経過したら，受付を終了する。,平成31年春期 午前問52
プロジェクトマネジメントにおいて，目的1をもつプロセスと目的2をもつプロセスとが含まれる対象群はどれか。     〔目的〕     目的1:プロジェクトの目標，成果物，要求事項及び境界を明確にする。     目的2:プロジェクトの目標や成果物などの変更によって生じる，プロジェクトの機会となる影響を最大化し，脅威となる影響を最小化する。,2,コミュニケーション,スコープ,調達,リスク,平成31年春期 午前問51
JavaScriptの非同期通信の機能を使うことによって，動的なユーザインタフェースを画面遷移を伴わずに実現する技術はどれか。,1,Ajax,CSS,RSS,SNS,平成31年春期 午前問50
ソフトウェアのテストツールの説明のうち，静的テストを支援する静的解析ツールのものはどれか。,3,指定された条件のテストデータや，プログラムの入力ファイルを自動的に生成する。,テストの実行結果を基に，命令の網羅率や分岐の網羅率を自動的に計測し，分析する。,プログラム中に文法上の誤りや論理的な誤りなどがあるかどうかを，ソースコードを分析して調べる。,モジュールの呼出し回数や実行時間，実行文の実行回数などの，プログラム実行時の動作特性に関するデータを計測する。,平成31年春期 午前問48
ブラックボックステストに関する記述として，最も適切なものはどれか。,2,テストデータの作成基準として，プログラムの命令や分岐に対する網羅率を使用する。,被テストプログラムに冗長なコードがあっても検出できない。,プログラムの内部構造に着目し，必要な部分が実行されたかどうかを検証する。,分岐命令やモジュールの数が増えると，テストデータが急増する。,平成31年春期 午前問47
UMLにおける振る舞い図の説明のうち，アクティビティ図のものはどれか。,1,ある振る舞いから次の振る舞いへの制御の流れを表現する。,オブジェクト間の相互作用を時系列で表現する。,システムが外部に提供する機能と，それを利用する者や外部システムとの関係を表現する。,一つのオブジェクトの状態がイベントの発生や時間の経過とともにどのように変化するかを表現する。,平成31年春期 午前問46
ファジングで得られるセキュリティ上の効果はどれか。,2,ソフトウェアの脆弱性を自動的に修正できる。,ソフトウェアの脆弱性を検出できる。,複数のログデータを相関分析し，不正アクセスを検知できる。,利用者IDを統合的に管理し，統ーしたパスワードポリシを適用できる。,平成31年春期 午前問45
侵入者やマルウェアの挙動を調査するために，意図的に脆弱性をもたせたシステム又はネットワークはどれか。,3,DMZ,SIEM,ハニーポット,ボットネット,平成31年春期 午前問44
OSI基本参照モデルのネットワーク層で動作し，"認証ヘッダ(AH)"と"暗号ペイロード(ESP)"の二つのプロトコルを含むものはどれか。,1,IPsec,S/MIME,SSH,XML暗号,平成31年春期 午前問43
不正が発生する際には"不正のトライアングル"の3要素全てが存在すると考えられている。"不正のトライアングル"の構成要素の説明として，適切なものはどれか。,1,"機会"とは，情報システムなどの技術や物理的な環境，組織のルールなど，内部者による不正行為の実行を可能又は容易にする環境の存在である。,"情報と伝達"とは，必要な情報が識別，把握及び処理され，組織内外及び関係者相互に正しく伝えられるようにすることである。,"正当化"とは，ノルマによるプレッシャなどのことである。,"動機"とは，良心のかしゃくを乗り越える都合の良い解釈や他人への責任転嫁など，内部者が不正行為を自ら納得させるための自分勝手な理由付けである。,平成31年春期 午前問42
JIS Q 27000:2014(情報セキュリティマネジメントシステム－用語)における"リスクレベル"の定義はどれか。,2,脅威によって付け込まれる可能性のある，資産又は管理策の弱点,結果とその起こりやすさの組合せとして表現される，リスクの大きさ,対応すべきリスクに付与する優先順位,リスクの重大性を評価するために目安とする条件,平成31年春期 午前問41
リスク対応のうち，リスクファイナンシングに該当するものはどれか。,1,システムが被害を受けるリスクを想定して，保険を掛ける。,システムの被害につながるリスクの顕在化を抑える対策に資金を投入する。,リスクが大きいと評価されたシステムを廃止し，新たなセキュアなシステムの構築に資金を投入する。,リスクが顕在化した場合のシステムの被害を小さくする設備に資金を投入する。,平成31年春期 午前問40
楕円曲線暗号の特徴はどれか。,1,RSA暗号と比べて，短い鍵長で同レベルの安全性が実現できる。,共通鍵暗号方式であり，暗号化や復号の処理を高速に行うことができる。,総当たりによる解読が不可能なことが，数学的に証明されている。,データを秘匿する目的で用いる場合，復号鍵を秘密にしておく必要がない。,平成31年春期 午前問39
メッセージ認証符号の利用目的に該当するものはどれか。,1,メッセージが改ざんされていないことを確認する。,メッセージの暗号化方式を確認する。,メッセージの概要を確認する。,メッセージの秘匿性を確保する。,平成31年春期 午前問38
パスワードリスト攻撃の手口に該当するものはどれか。,3,辞書にある単語をパスワードに設定している利用者がいる状況に着目して，攻撃対象とする利用者IDを一つ定め，辞書にある単語やその組合せをパスワードとして，ログインを試行する。,パスワードの文字数の上限が小さいWebサイトに対して，攻撃対象とする利用者IDを一つ定め，文字を組み合わせたパスワードを総当たりして，ログインを試行する。,複数サイトで同一の利用者IDとパスワードを使っている利用者がいる状況に着目して，不正に取得した他サイトの利用者IDとパスワードの一覧表を用いて，ログインを試行する。,よく用いられるパスワードを一つ定め，文字を組み合わせた利用者IDを総当たりして，ログインを試行する。,平成31年春期 午前問37
CAPTCHAの目的はどれか。,1,Webサイトなどにおいて，コンピュータではなく人間がアクセスしていることを確認する。,公開鍵暗号と共通鍵暗号を組み合わせて，メッセージを効率よく暗号化する。,通信回線を流れるパケットをキャプチャして，パケットの内容の表示や解析，集計を行う。,電子政府推奨暗号の安全性を評価し，暗号技術の適切な実装法，運用法を調査，検討する。,平成31年春期 午前問36
OpenFlowを使ったSDN(Software-Defined Networking)の説明として，適切なものはどれか。,3,RFIDを用いるIoT(Internet of Things)技術の一つであり，物流ネットワークを最適化するためのソフトウェアアーキテクチャ,様々なコンテンツをインターネット経由で効率よく配信するために開発された，ネットワーク上のサーバの最適配置手法,データ転送と経路制御の機能を論理的に分離し，データ転送に特化したネットワーク機器とソフトウェアによる経路制御の組合せで実現するネットワーク技術,データフロー図やアクティビティ図などを活用し，業務プロセスの問題点を発見して改善を行うための，業務分析と可視化ソフトウェアの技術,平成31年春期 午前問35
トランスポート層のプロトコルであり，信頼性よりもリアルタイム性が重視される場合に用いられるものはどれか。,4,HTTP,IP,TCP,UDP,平成31年春期 午前問33
192.168.0.0/23(サブネットマスク255.255.254.0)のIPv4ネットワークにおいて，ホストとして使用できるアドレスの個数の上限はどれか。,4,23,24,254,510,平成31年春期 午前問32
OSI基本参照モデルのトランスポート層以上が異なるLANシステム相互間でプロトコル変換を行う機器はどれか。,1,ゲートウェイ,ブリッジ,リピータ,ルータ,平成31年春期 午前問31
ビッグデータの処理で使われるキーバリューストアの説明として，適切なものはどれか。,4,"ノード"，"リレーションシップ"，"プロパティ"の3要素によってノード間の関係性を表現する。,1件分のデータを"ドキュメント"と呼び，個々のドキュメントのデータ構造は自由であって，データを追加する都度変えることができる。,集合論に基づいて，行と列から成る2次元の表で表現する。,任意の保存したいデータと，そのデータを一意に識別できる値を組みとして保存する。,平成31年春期 午前問30
関係モデルの属性に関する説明のうち，適切なものはどれか。,2,関係内の属性の定義域は重複してはならない。,関係内の属性の並び順に意味はなく，順番を入れ替えても同じ関係である。,関係内の二つ以上の属性に，同じ名前を付けることができる。,名前をもたない属性を定義することができる。,平成31年春期 午前問26
音声のサンプリングを1秒間に11000回行い，サンプリングした値をそれぞれ8ビットのデータとして記録する。このとき，512×10^6バイトの容量をもつフラッシュメモリに記録できる音声の長さは，最大何分か。,3,77,96,775,969,平成31年春期 午前問25
GUIの部品の一つであるラジオボタンの用途として，適切なものはどれか。,3,幾つかの項目について，それぞれの項目を選択するかどうかを指定する。,幾つかの選択項目から一つを選ぶときに，選択項目にないものはテキストボックスに入力する。,互いに排他的な幾つかの選択項目から一つを選ぶ。,特定の項目を選択することによって表示される一覧形式の項目の中から一つを選ぶ。,平成31年春期 午前問24
データセンタなどで採用されているサーバ，ネットワーク機器に対する直流給電の利点として，適切なものはどれか。,1,交流から直流への変換，直流から交流への変換で生じる電力損失を低減できる。,受電設備からCPUなどのLSIまで，同じ電圧のまま給電できる。,停電の危険がないので，電源バックアップ用のバッテリを不要にできる。,トランスを用いて容易に昇圧，降圧ができる。,平成31年春期 午前問23
メモリセルにフリップフロップ回路を利用したものはどれか。,4,DRAM,EEPROM,SDRAM,SRAM,平成31年春期 午前問21
OSIによるオープンソースソフトウェアの定義に従うときのオープンソースソフトウェアに対する取扱いとして，適切なものはどれか。,4,ある特定の業界向けに作成されたオープンソースソフトウェアは，ソースコードを公開する範囲をその業界に限定することができる。,オープンソースソフトウェアを改変し再配布する場合，元のソフトウェアと同じ配布条件となるように，同じライセンスを適用して配布する必要がある。,オープンソースソフトウェアを第三者が製品として再配布する場合，そのオープンソースソフトウェアの開発者は第三者に対してライセンス費を請求することができる。,社内での利用などのようにオープンソースソフトウェアを改変しても再配布しない場合，改変部分のソースコードを公開しなくてもよい。,平成31年春期 午前問20
インタプリタの説明として，適切なものはどれか。,1,原始プログラムを，解釈しながら実行するプログラムである。,原始プログラムを，推論しながら翻訳するプログラムである。,原始プログラムを，目的プログラムに翻訳するプログラムである。,実行可能なプログラムを，主記憶装置にロードするプログラムである。,平成31年春期 午前問19
データ検索時に使用される，理想的なハッシュ法の説明として，適切なものはどれか。,4,キーワード検索のヒット率を高めることを目的に作成した，一種の同義語・類義語リストを用いることによって，検索漏れを防ぐ技術である。,蓄積されている膨大なデータを検索し，経営やマーケティングにとって必要な傾向，相関関係，パターンなどを導き出すための技術や手法である。,データとそれに対する処理を組み合わせたオブジェクトに，認識や判断の機能を加え，利用者の検索要求に対して，その意図を判断する高度な検索技術である。,データを特定のアルゴリズムによって変換した値を格納アドレスとして用いる，高速でスケーラビリティの高いデータ検索技術である。,平成31年春期 午前問18
デバイスドライバの説明として，適切なものはどれか。,1,PCに接続された周辺機器を制御するソフトウェア,アプリケーションプログラムをPCに導入するソフトウェア,キーボードなどの操作手順を登録して，その操作を自動化するソフトウェア,他のPCに入り込んで不利益をもたらすソフトウェア,平成31年春期 午前問17
タスクのディスパッチの説明として，適切なものはどれか。,2,各タスクの実行順序を決定すること,実行可能なタスクに対してプロセッサの使用権を割り当てること,タスクの実行に必要な情報であるコンテキストのこと,一つのプロセッサで複数のタスクを同時に実行しているかのように見せかけた状態のこと,平成31年春期 午前問16
冗長構成におけるデュアルシステムの説明として，適切なものはどれか。,4,2系統のシステムで並列処理をすることによって性能を上げる方式である。,2系統のシステムの負荷が均等になるように，処理を分散する方式である。,現用系と待機系の2系統のシステムで構成され，現用系に障害が生じたときに，待機系が処理を受け継ぐ方式である。,一つの処理を2系統のシステムで独立に行い，結果を照合する方式である。,平成31年春期 午前問13
3Dプリンタの機能の説明として，適切なものはどれか。,3,高温の印字ヘッドのピンを感熱紙に押し付けることによって印刷を行う。,コンピュータグラフィックスを建物，家具など凹凸のある立体物に投影する。,熱溶解積層方式などによって，立体物を造形する。,立体物の形状を感知して，3Dデータとして出力する。,平成31年春期 午前問12
96dpiのディスプレイに12ポイントの文字をビットマップで表示したい。正方フォントの縦は何ドットになるか。ここで，1ポイントは1／72インチとする。,4,8,9,12,16,平成31年春期 午前問11
外部割込みの原因となるものはどれか。,3,ゼロによる除算命令の実行,存在しない命令コードの実行,タイマによる時間経過の通知,ページフォールトの発生,平成31年春期 午前問9
複数のプロセスから同時に呼び出されたときに，互いに干渉することなく並行して動作することができるプログラムの性質を表すものはどれか。,1,リエントラント,リカーシブ,リユーザブル,リロケータブル,平成31年春期 午前問8
機械学習における教師あり学習の説明として，最も適切なものはどれか。,3,個々の行動に対しての善しあしを得点として与えることによって，得点が最も多く得られるような方策を学習する。,コンピュータ利用者の挙動データを蓄積し，挙動データの出現頻度に従って次の挙動を推論する。,正解のデータを提示したり，データが誤りであることを指摘したりすることによって，未知のデータに対して正誤を得ることを助ける。,正解のデータを提示せずに，統計的性質や，ある種の条件によって入力パターンを判定したり，クラスタリングしたりする。,平成31年春期 午前問4
P，Q，Rはいずれも命題である。命題Pの真理値は真であり，命題 (not P) or Q 及び命題 (not Q) or R のいずれの真理値も真であることが分かっている。Q，Rの真理値はどれか。ここで，X or Y は X と Y の論理和，not X は X の否定を表す。,4,Q = 偽    R = 偽,Q = 偽    R = 真,Q = 真    R = 偽,Q = 真    R = 真,平成31年春期 午前問3
最上位をパリティビットとする8ビット符号において，パリティビット以外の下位7ビットを得るためのビット演算はどれか。,3,16進数0FとのANDをとる。,16進数0FとのORをとる。,16進数7FとのANDをとる。,16進数FFとのXOR(排他的論理和)をとる。,平成31年春期 午前問2
10進数の演算式7÷32の結果を2進数で表したものはどれか。,3,0.001011,0.001101,0.00111,0.0111,平成31年春期 午前問1
ソフトウェアやデータに瑕疵(かし)がある場合に，製造物責任法の対象となるものはどれか,1,ROM化したソフトウェアを内蔵した組込み機器,アプリケーションソフトウェアパッケージ,利用者がPCにインストールしたOS,利用者によってネットワークからダウンロードされたデータ,令和元年秋期 午前問80
シュリンクラップ契約において，ソフトウェアの使用許諾契約が成立するのはどの時点か,3,購入したソフトウェアの代金を支払った時点,ソフトウェアの入ったDVD-ROMを受け取った時点,ソフトウェアの入ったDVD-ROMの包装を解いた時点,ソフトウェアをPCにインストールした時点,令和元年秋期 午前問79
売上高が100百万円のとき，変動費が60百万円，固定費が30百万円掛かる。変動費率，固定費は変わらないものとして，目標利益18百万円を達成するのに必要な売上高は何百万円か。,2,108,120,156,180,令和元年秋期 午前問78
